user_id,timestamp,activity_type,resource_accessed,location,device_info,risk_score,login_time,logout_time,session_duration,file_size,data_type,application_used,ip_address,user_agent,success_status
U004,15-01-2024 09:45,file_access,customer_database.db,office_building_a,Windows_11_Pro,0.5,15-01-2024 08:20,15-01-2024 17:30,33000,20480000,customer_data,Database_Client,192.168.1.104,Edge/96.0,success
U004,15-01-2024 13:20,database_export,customer_export.csv,office_building_a,Windows_11_Pro,0.8,15-01-2024 08:20,15-01-2024 17:30,33000,5120000,customer_data,Database_Client,192.168.1.104,Edge/96.0,success
U004,15-01-2024 15:45,email_attachment,customer_data_export.csv,office_building_a,Windows_11_Pro,0.9,15-01-2024 08:20,15-01-2024 17:30,33000,5120000,customer_data,Outlook,192.168.1.104,Edge/96.0,success
U005,15-01-2024 08:15,login,workstation_05,office_building_c,Windows_10_Pro,0.1,15-01-2024 08:15,15-01-2024 18:15,35970,0,login,Windows,192.168.1.105,Firefox/95.0,success
U005,15-01-2024 10:00,file_access,payroll_data.xlsx,office_building_c,Windows_10_Pro,0.6,15-01-2024 08:15,15-01-2024 18:15,35970,1536000,payroll,Excel,192.168.1.105,Firefox/95.0,success
U005,15-01-2024 11:30,file_access,employee_salaries.pdf,office_building_c,Windows_10_Pro,0.7,15-01-2024 08:15,15-01-2024 18:15,35970,1024000,payroll,Adobe_Reader,192.168.1.105,Firefox/95.0,success
U005,15-01-2024 16:20,usb_access,USB_DRIVE_002,office_building_c,Windows_10_Pro,0.8,15-01-2024 08:15,15-01-2024 18:15,35970,2048000,payroll,File_Explorer,192.168.1.105,Firefox/95.0,success
U006,15-01-2024 08:30,login,workstation_06,office_building_a,MacOS_11.6,0.1,15-01-2024 08:30,15-01-2024 17:00,30600,0,login,MacOS,192.168.1.106,Safari/14.1,success
U006,15-01-2024 09:15,file_access,marketing_strategy.pptx,office_building_a,MacOS_11.6,0.2,15-01-2024 08:30,15-01-2024 17:00,30600,3072000,marketing,PowerPoint,192.168.1.106,Safari/14.1,success
U006,15-01-2024 14:45,cloud_sync,onedrive_sync,office_building_a,MacOS_11.6,0.3,15-01-2024 08:30,15-01-2024 17:00,30600,4096000,marketing,OneDrive,192.168.1.106,Safari/14.1,success
U007,15-01-2024 08:45,login,workstation_07,office_building_b,Ubuntu_18.04,0.1,15-01-2024 08:45,15-01-2024 16:45,28785,0,login,Linux,192.168.1.107,Chrome/94.0,success
U007,15-01-2024 10:30,file_access,research_data.csv,office_building_b,Ubuntu_18.04,0.4,15-01-2024 08:45,15-01-2024 16:45,28785,8192000,research,Python_Script,192.168.1.107,Chrome/94.0,success
U007,15-01-2024 12:00,data_analysis,statistical_analysis.py,office_building_b,Ubuntu_18.04,0.3,15-01-2024 08:45,15-01-2024 16:45,28785,51200,research,Python_Script,192.168.1.107,Chrome/94.0,success
U008,15-01-2024 08:20,login,workstation_08,office_building_c,Windows_10_Pro,0.1,15-01-2024 08:20,15-01-2024 17:30,32970,0,login,Windows,192.168.1.108,Edge/95.0,success
U008,15-01-2024 09:00,file_access,network_config.xml,office_building_c,Windows_10_Pro,0.5,15-01-2024 08:20,15-01-2024 17:30,32970,256000,network_config,Text_Editor,192.168.1.108,Edge/95.0,success
U008,15-01-2024 11:15,admin_access,firewall_config,office_building_c,Windows_10_Pro,0.8,15-01-2024 08:20,15-01-2024 17:30,32970,102400,network_config,Admin_Tool,192.168.1.108,Edge/95.0,success
U008,15-01-2024 15:30,config_change,firewall_rules_modified,office_building_c,Windows_10_Pro,0.9,15-01-2024 08:20,15-01-2024 17:30,32970,51200,network_config,Admin_Tool,192.168.1.108,Edge/95.0,success
U009,15-01-2024 08:35,login,workstation_09,office_building_a,MacOS_12.0,0.1,15-01-2024 08:35,15-01-2024 17:45,33000,0,login,MacOS,192.168.1.109,Safari/15.0,success
U009,15-01-2024 09:30,file_access,legal_documents.pdf,office_building_a,MacOS_12.0,0.6,15-01-2024 08:35,15-01-2024 17:45,33000,4096000,legal,Adobe_Reader,192.168.1.109,Safari/15.0,success
U009,15-01-2024 13:45,email_send,legal_consultant@external.com,office_building_a,MacOS_12.0,0.7,15-01-2024 08:35,15-01-2024 17:45,33000,2048000,legal,Outlook,192.168.1.109,Safari/15.0,success
U010,15-01-2024 08:25,login,workstation_10,office_building_b,Windows_11_Home,0.1,15-01-2024 08:25,15-01-2024 16:30,29055,0,login,Windows,192.168.1.110,Chrome/97.0,success
U010,15-01-2024 09:45,file_access,product_roadmap.xlsx,office_building_b,Windows_11_Home,0.3,15-01-2024 08:25,15-01-2024 16:30,29055,1536000,product,Excel,192.168.1.110,Chrome/97.0,success
U010,15-01-2024 12:30,web_browsing,competitor_website.com,office_building_b,Windows_11_Home,0.4,15-01-2024 08:25,15-01-2024 16:30,29055,0,web_browsing,Chrome,192.168.1.110,Chrome/97.0,success
U010,15-01-2024 14:15,screenshot,product_screenshot.png,office_building_b,Windows_11_Home,0.5,15-01-2024 08:25,15-01-2024 16:30,29055,512000,product,Screenshot_Tool,192.168.1.110,Chrome/97.0,success
