timestamp,user_id,ml_prediction,probability_threat,risk_score,triggered_rules,final_decision
2026-09-06T09:17:49,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:17:49,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:18:01,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:29,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:29,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:29,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:29,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:33,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:33,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:33,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:22:33,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:43,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:44,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:44,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:44,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:46,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:46,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:46,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:46,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:47,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:48,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:48,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:48,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:49,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:49,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:49,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:25:49,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:21,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U007,low,0.27,80,sensitive_file_access+mass_download+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U008,low,0.07,90,sensitive_file_access+privilege_escalation+abnormal_application_usage+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U002,low,0.02,50,sensitive_file_access+dlp_policy_violation,Potential Insider Threat
2026-09-06T09:27:22,U001,low,0.18,115,usb_activity+sensitive_file_access+mass_download+privilege_escalation+dlp_policy_violation,Potential Insider Threat
